"STATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00014745","2017-06-10","2.1","0.0","0.0","0.0","20.5","29.4","10.0"
"USW00014745","2017-06-11","2.7","0.0","0.0","0.0","24.5","34.4","14.4"
"USW00014745","2017-06-12","2.2","0.0","0.0","0.0","26.8","36.1","15.6"
"USW00014745","2017-06-13","3.4","0.0","0.0","0.0","26.3","33.9","16.7"
"USW00014745","2017-06-14","2.7","0.0","0.0","0.0","21.4","26.7","12.2"
"USW00014745","2017-06-15","2.5","0.0","0.0","0.0","17.2","26.1","7.2"
"USW00014745","2017-06-16","2.1","10.2","0.0","0.0","16.4","19.4","12.8"
"USW00014745","2017-06-17","1.2","0.0","0.0","0.0","16.5","22.2","13.9"
"USW00014745","2017-06-18","3.8","0.0","0.0","0.0","23.4","30.6","18.9"
"USW00014745","2017-06-19","3.7","13.7","0.0","0.0","25.4","31.1","20.6"
"USW00014745","2017-06-20","3.7","0.8","0.0","0.0","23.6","28.9","15.6"
"USW00014745","2017-06-21","3.3","0.0","0.0","0.0","21.1","27.2","13.9"
"USW00014745","2017-06-22","2.2","0.0","0.0","0.0","20.2","27.8","10.6"
"USW00014745","2017-06-23","2.0","0.0","0.0","0.0","22.4","30.0","17.2"
"USW00014745","2017-06-24","3.9","1.3","0.0","0.0","25.4","30.0","21.7"
"USW00014745","2017-06-25","3.3","0.0","0.0","0.0","22.9","28.3","12.8"
"USW00014745","2017-06-26","3.0","2.5","0.0","0.0","20.8","25.0","14.4"
"USW00014745","2017-06-27","1.7","22.6","0.0","0.0","16.7","22.2","9.4"
"USW00014745","2017-06-28","2.5","0.0","0.0","0.0","15.7","24.4","7.2"
"USW00014745","2017-06-29","1.1","0.0","0.0","0.0","16.7","22.2","10.0"
"USW00014745","2017-06-30","2.1","13.5","0.0","0.0","21.1","29.4","15.0"
"USW00014745","2017-07-01","3.6","1.8","0.0","0.0","23.8","32.2","18.3"
"USW00014745","2017-07-02","3.1","0.0","0.0","0.0","24.7","31.1","18.3"
"USW00014745","2017-07-03","3.0","0.0","0.0","0.0","23.6","28.9","15.0"
"USW00014745","2017-07-04","2.1","0.0","0.0","0.0","21.1","28.3","12.8"
"USW00014745","2017-07-05","1.8","0.0","0.0","0.0","20.2","28.9","10.6"
"USW00014745","2017-07-06","2.6","0.0","0.0","0.0","21.9","28.3","15.0"
"USW00014745","2017-07-07","1.6","0.3","0.0","0.0","19.7","22.2","15.0"
"USW00014745","2017-07-08","2.2","0.5","0.0","0.0","20.5","28.9","15.6"
"USW00014745","2017-07-09","2.7","0.0","0.0","0.0","21.4","28.3","13.3"
"USW00014745","2017-07-10","1.9","0.0","0.0","0.0","21.9","29.4","12.2"
"USW00014745","2017-07-11","1.5","8.4","0.0","0.0","22.2","27.2","18.3"
"USW00014745","2017-07-12","1.3","0.8","0.0","0.0","23.1","31.1","16.1"
"USW00014745","2017-07-13","1.9","6.4","0.0","0.0","18.2","21.1","13.9"
"USW00014745","2017-07-14","1.2","0.0","0.0","0.0","16.1","18.3","14.4"
"USW00014745","2017-07-15","1.2","0.0","0.0","0.0","19.1","27.2","15.6"
"USW00014745","2017-07-16","1.0","0.0","0.0","0.0","23.1","31.1","13.9"
"USW00014745","2017-07-17","2.2","0.0","0.0","0.0","24.1","31.7","16.1"
"USW00014745","2017-07-18","1.6","0.0","0.0","0.0","25.1","31.7","20.0"
